fantasy_owner,ipl_team,nickname,full_name,role,is_overseas,official_name,official_player_id,official_player_url,official_stats_feed_url,mapping_source,mapping_notes,playing_xi_tier,availability_modifier,availability_note,overseas_competition_note,availability_source,confidence,career_batting_matches,career_batting_innings,career_batting_not_outs,career_batting_runs,career_batting_high_score,career_batting_average,career_batting_balls_faced,career_batting_strike_rate,career_batting_hundreds,career_batting_fifties,career_batting_fours,career_batting_sixes,career_batting_catches,career_batting_stumpings,career_bowling_matches,career_bowling_innings,career_bowling_balls,career_bowling_runs_conceded,career_bowling_wickets,career_bowling_best_bowling,career_bowling_average,career_bowling_economy,career_bowling_strike_rate,career_bowling_four_wkts,career_bowling_five_wkts,season_2025_batting_matches,season_2025_batting_innings,season_2025_batting_not_outs,season_2025_batting_runs,season_2025_batting_high_score,season_2025_batting_average,season_2025_batting_balls_faced,season_2025_batting_strike_rate,season_2025_batting_hundreds,season_2025_batting_fifties,season_2025_batting_fours,season_2025_batting_sixes,season_2025_batting_catches,season_2025_batting_stumpings,season_2025_bowling_matches,season_2025_bowling_innings,season_2025_bowling_balls,season_2025_bowling_runs_conceded,season_2025_bowling_wickets,season_2025_bowling_best_bowling,season_2025_bowling_average,season_2025_bowling_economy,season_2025_bowling_strike_rate,season_2025_bowling_four_wkts,season_2025_bowling_five_wkts,season_2024_batting_matches,season_2024_batting_innings,season_2024_batting_not_outs,season_2024_batting_runs,season_2024_batting_high_score,season_2024_batting_average,season_2024_batting_balls_faced,season_2024_batting_strike_rate,season_2024_batting_hundreds,season_2024_batting_fifties,season_2024_batting_fours,season_2024_batting_sixes,season_2024_batting_catches,season_2024_batting_stumpings,season_2024_bowling_matches,season_2024_bowling_innings,season_2024_bowling_balls,season_2024_bowling_runs_conceded,season_2024_bowling_wickets,season_2024_bowling_best_bowling,season_2024_bowling_average,season_2024_bowling_economy,season_2024_bowling_strike_rate,season_2024_bowling_four_wkts,season_2024_bowling_five_wkts,stats_source,stats_fetched_at,stats_status
Harsh,SRH,Smaran,Smaran Ravichandran,BAT,False,Smaran Ravichandran,22378,https://www.iplt20.com/players/smaran-ravichandran/22378,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22378-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22378-playerstats.js,2026-03-23T10:51:03.809816+00:00,ok
Dharmil,SRH,Harsh Dubey,Harsh Dubey,BOWL,False,Harsh Dubey,22381,https://www.iplt20.com/players/harsh-dubey/22381,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22381-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,3,0,0,,,,,,0,0,,,,,3,3,60,98,5,3/34,19.60,9.80,12.00,0,0,3,0,0,,,,,,0,0,,,,,3,3,60,98,5,3/34,19.60,9.80,12.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22381-playerstats.js,2026-03-23T10:51:03.835998+00:00,ok
Manan,RCB,Krunal,Krunal Pandya,AR,False,Krunal Pandya,3183,https://www.iplt20.com/players/krunal-pandya/3183,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3183-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,142,118,39,1756,86,22.23,1326,132.43,0,2,153,65,52,0,142,132,2398,2985,93,4/45,32.10,7.47,25.78,1,0,15,7,1,109,73*,18.17,86,126.74,0,1,9,4,6,,15,15,276,379,17,4/45,22.29,8.24,16.24,1,0,14,12,8,133,43*,33.25,105,126.67,0,0,8,5,3,,14,12,198,255,6,3/11,42.50,7.73,33.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3183-playerstats.js,2026-03-23T10:51:03.844965+00:00,ok
Akshit,RCB,Jitesh,Jitesh Sharma,WK,False,Jitesh Sharma,3185,https://www.iplt20.com/players/jitesh-sharma/3185,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3185-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,55,47,8,991,85*,25.41,631,157.05,0,1,77,62,44,5,55,,,,,,,,,,,15,11,4,261,85*,37.29,148,176.35,0,1,24,17,19,1,15,,,,,,,,,,,14,12,1,187,32*,17.00,142,131.69,0,0,9,12,13,,14,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3185-playerstats.js,2026-03-23T10:51:03.848518+00:00,ok
Saurabh,RCB,Salt,Phil Salt,WK,True,Phil Salt,5606,https://www.iplt20.com/players/phil-salt/5606,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5606-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,34,34,3,1056,89*,34.06,601,175.71,0,10,122,56,26,,34,,,,,,,,,,,13,13,1,403,65,33.58,229,175.98,0,4,48,22,9,,13,,,,,,,,,,,12,12,1,435,89*,39.55,239,182.01,0,4,50,24,12,,12,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5606-playerstats.js,2026-03-23T10:51:03.985841+00:00,ok
Vyom,RCB,Patidar,Rajat Patidar,BAT,False,Rajat Patidar,5471,https://www.iplt20.com/players/rajat-patidar/5471,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5471-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,42,38,2,1111,112*,30.86,720,154.31,1,9,76,68,10,0,42,0,0,0,0,,,,,0,0,15,14,1,312,64,24.00,217,143.78,0,2,25,14,2,,15,,,,,,,,,,,15,13,0,395,55,30.38,223,177.13,0,5,21,33,3,,15,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5471-playerstats.js,2026-03-23T10:51:04.004361+00:00,ok
Harsh,RCB,David,Tim David,BAT,True,Tim David,4524,https://www.iplt20.com/players/tim-david/4524,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4524-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,50,44,18,846,50*,32.54,488,173.36,0,1,54,60,29,0,50,0,0,0,0,0,,,,0,0,12,9,6,187,50*,62.33,101,185.15,0,1,16,14,7,,12,,,,,,,,,,,13,11,3,241,45*,30.13,152,158.55,0,0,14,15,6,,13,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4524-playerstats.js,2026-03-23T10:51:04.137933+00:00,ok
Dharmik,RCB,VK,Virat Kohli,BAT,False,Virat Kohli,164,https://www.iplt20.com/players/virat-kohli/164,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/164-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,High,267,259,40,8661,113,39.55,6519,132.86,8,63,771,291,118,0,267,26,251,368,4,2/25,92.00,8.80,62.75,0,0,15,15,3,657,73*,54.75,454,144.71,0,8,66,19,3,,15,,,,,,,,,,,15,15,3,741,113*,61.75,479,154.70,1,5,62,38,8,,15,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/164-playerstats.js,2026-03-23T10:51:04.147759+00:00,ok
Dharmil,RCB,DDP,Devdutt Padikkal,BAT,False,Devdutt Padikkal,5430,https://www.iplt20.com/players/devdutt-padikkal/5430,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5430-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,74,74,3,1806,101*,25.44,1430,126.29,1,11,190,56,29,0,74,0,0,0,0,,,,,0,0,10,10,1,247,61,27.44,164,150.61,0,2,21,14,1,,10,,,,,,,,,,,7,7,0,38,13,5.43,53,71.70,0,0,3,0,4,,7,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5430-playerstats.js,2026-03-23T10:51:04.259054+00:00,ok
Manan,RCB,Hazelwood,Josh Hazlewood,BOWL,True,Josh Hazlewood,857,https://www.iplt20.com/players/josh-hazlewood/857,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/857-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,39,7,7,19,7*,,29,65.52,0,0,1,0,3,0,39,39,867,1196,57,4/25,20.98,8.28,15.21,2,0,12,1,1,0,0*,,1,0.00,0,0,0,0,1,,12,12,264,386,22,4/33,17.55,8.77,12.00,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/857-playerstats.js,2026-03-23T10:51:04.261019+00:00,ok
