fantasy_owner,ipl_team,nickname,full_name,role,is_overseas,official_name,official_player_id,official_player_url,official_stats_feed_url,mapping_source,mapping_notes,playing_xi_tier,availability_modifier,availability_note,overseas_competition_note,availability_source,confidence,career_batting_matches,career_batting_innings,career_batting_not_outs,career_batting_runs,career_batting_high_score,career_batting_average,career_batting_balls_faced,career_batting_strike_rate,career_batting_hundreds,career_batting_fifties,career_batting_fours,career_batting_sixes,career_batting_catches,career_batting_stumpings,career_bowling_matches,career_bowling_innings,career_bowling_balls,career_bowling_runs_conceded,career_bowling_wickets,career_bowling_best_bowling,career_bowling_average,career_bowling_economy,career_bowling_strike_rate,career_bowling_four_wkts,career_bowling_five_wkts,season_2025_batting_matches,season_2025_batting_innings,season_2025_batting_not_outs,season_2025_batting_runs,season_2025_batting_high_score,season_2025_batting_average,season_2025_batting_balls_faced,season_2025_batting_strike_rate,season_2025_batting_hundreds,season_2025_batting_fifties,season_2025_batting_fours,season_2025_batting_sixes,season_2025_batting_catches,season_2025_batting_stumpings,season_2025_bowling_matches,season_2025_bowling_innings,season_2025_bowling_balls,season_2025_bowling_runs_conceded,season_2025_bowling_wickets,season_2025_bowling_best_bowling,season_2025_bowling_average,season_2025_bowling_economy,season_2025_bowling_strike_rate,season_2025_bowling_four_wkts,season_2025_bowling_five_wkts,season_2024_batting_matches,season_2024_batting_innings,season_2024_batting_not_outs,season_2024_batting_runs,season_2024_batting_high_score,season_2024_batting_average,season_2024_batting_balls_faced,season_2024_batting_strike_rate,season_2024_batting_hundreds,season_2024_batting_fifties,season_2024_batting_fours,season_2024_batting_sixes,season_2024_batting_catches,season_2024_batting_stumpings,season_2024_bowling_matches,season_2024_bowling_innings,season_2024_bowling_balls,season_2024_bowling_runs_conceded,season_2024_bowling_wickets,season_2024_bowling_best_bowling,season_2024_bowling_average,season_2024_bowling_economy,season_2024_bowling_strike_rate,season_2024_bowling_four_wkts,season_2024_bowling_five_wkts,stats_source,stats_fetched_at,stats_status
Akshit,RCB,Rasikh,Rasikh Dar,BOWL,False,Rasikh Dar,20577,https://www.iplt20.com/players/rasikh-dar/20577,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20577-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Rasikh Dar'.,LIKELY,1.0,,,,High,13,6,1,40,10,8.00,40,100.00,0,0,5,0,3,0,13,13,231,409,10,3/34,40.90,10.62,23.10,0,0,2,0,0,,,,,,0,0,,,1,,2,2,36,70,1,1/35,70.00,11.67,36.00,0,0,8,4,0,28,10,7.00,30,93.33,0,0,4,0,1,,8,8,147,269,9,3/34,29.89,10.98,16.33,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20577-playerstats.js,2026-03-23T10:51:04.262370+00:00,ok
Saurabh,RCB,Romario,Romario Shepherd,AR,True,Romario Shepherd,20609,https://www.iplt20.com/players/romario-shepherd/20609,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20609-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,18,12,5,185,53*,26.43,87,212.64,0,1,12,17,4,,18,15,210,408,10,2/14,40.80,11.66,21.00,0,0,8,3,1,70,53*,35.00,24,291.67,0,1,5,7,4,,8,7,84,151,6,2/14,25.17,10.79,14.00,0,0,6,5,3,57,39*,28.50,21,271.43,0,0,5,5,,,6,5,72,159,1,1/54,159.00,13.25,72.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20609-playerstats.js,2026-03-23T10:51:04.277687+00:00,ok
Vyom,RCB,Dayal,Yash Dayal,BOWL,False,Yash Dayal,20591,https://www.iplt20.com/players/yash-dayal/20591,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20591-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,43,4,1,4,3,1.33,9,44.44,0,0,0,0,8,,43,43,871,1390,41,3/20,33.90,9.58,21.24,0,0,15,3,1,4,3,2.00,8,50.00,0,0,0,0,3,,15,15,294,470,13,2/18,36.15,9.59,22.62,0,0,14,0,0,,,,,,0,0,,,3,,14,14,301,459,15,3/20,30.60,9.15,20.07,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20591-playerstats.js,2026-03-23T10:51:04.445577+00:00,ok
Harsh,RCB,Suyash,Suyash Sharma,BOWL,False,Suyash Sharma,5668,https://www.iplt20.com/players/suyash-sharma/5668,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5668-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,27,0,0,,,,,,0,0,,,2,,27,27,558,814,18,3/17,45.22,8.75,31.00,0,0,14,0,0,,,,,,0,0,,,1,,14,14,300,442,8,3/17,55.25,8.84,37.50,0,0,2,0,0,,,,,,0,0,,,1,,2,2,24,51,0,0/18,,12.75,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5668-playerstats.js,2026-03-23T10:51:04.551640+00:00,ok
Dharmik,RCB,Bhuvi,Bhuvneshwar Kumar,BOWL,False,Bhuvneshwar Kumar,116,https://www.iplt20.com/players/bhuvneshwar-kumar/116,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/116-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,190,74,35,320,27,8.21,351,91.17,0,0,31,3,38,0,190,190,4222,5412,198,5/19,27.33,7.69,21.32,2,2,14,6,3,14,8,4.67,25,56.00,0,0,1,0,5,,14,14,312,483,17,3/33,28.41,9.29,18.35,0,0,16,5,2,23,13,7.67,29,79.31,0,0,3,0,1,,16,16,342,533,11,3/41,48.45,9.35,31.09,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/116-playerstats.js,2026-03-23T10:51:04.562908+00:00,ok
Dharmil,RCB,Venky,Venkatesh Iyer,AR,False,Venkatesh Iyer,8540,https://www.iplt20.com/players/venkatesh-iyer/8540,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/8540-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,62,56,7,1468,104,29.96,1069,137.32,1,12,136,65,22,0,62,9,81,143,3,2/29,47.67,10.59,27.00,0,0,11,7,0,142,60,20.29,102,139.22,0,1,15,4,4,,11,,,,,,,,,,,15,13,5,370,70,46.25,233,158.80,0,4,35,19,4,,15,1,6,28,0,0/28,,28.00,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/8540-playerstats.js,2026-03-23T10:51:04.565149+00:00,ok
Akshit,RCB,Bethell,Jacob Bethell,AR,True,Jacob Bethell,22074,https://www.iplt20.com/players/jacob-bethell/22074,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22074-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,2,2,0,67,55,33.50,39,171.79,0,1,9,3,1,,2,,,,,,,,,,,2,2,0,67,55,33.50,39,171.79,0,1,9,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22074-playerstats.js,2026-03-23T10:51:04.569005+00:00,ok
Vyom,RCB,Mangesh,Mangesh Yadav,BOWL,False,Mangesh Yadav,23040,https://www.iplt20.com/players/mangesh-yadav/23040,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23040-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Mangesh Yadav'. Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23040-playerstats.js,2026-03-23T10:51:04.577356+00:00,feed_missing
Harsh,RCB,Swapnil,Swapnil Singh,AR,False,Swapnil Singh,3180,https://www.iplt20.com/players/swapnil-singh/3180,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3180-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,29,18,4,87,15*,6.21,105,82.86,0,0,3,3,6,0,19,19,204,302,8,2/28,37.75,8.88,25.50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,3,37,15*,18.50,21,176.19,0,0,3,3,2,,7,7,90,133,6,2/28,22.17,8.87,15.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3180-playerstats.js,2026-03-23T10:51:04.651862+00:00,ok
Dharmil,RCB,Duffy,Jacob Duffy,BOWL,True,Jacob Duffy,23003,https://www.iplt20.com/players/jacob-duffy/23003,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23003-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23003-playerstats.js,2026-03-23T10:51:04.703156+00:00,feed_missing
Manan,PBKS,Marco,Marco Jansen,AR,True,Marco Jansen,17068,https://www.iplt20.com/players/marco-jansen/17068,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/17068-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,35,21,10,141,34*,12.82,129,109.30,0,0,8,6,21,0,35,35,733,1149,36,3/17,31.92,9.41,20.36,0,0,14,8,4,75,34*,18.75,63,119.05,0,0,3,4,8,,14,14,283,434,16,3/17,27.13,9.20,17.69,0,0,3,2,1,18,17,18.00,13,138.46,0,0,1,1,6,,3,3,60,129,1,1/45,129.00,12.90,60.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/17068-playerstats.js,2026-03-23T10:51:04.708719+00:00,ok
Akshit,PBKS,Musheer,Musheer Khan,AR,False,Musheer Khan,22085,https://www.iplt20.com/players/musheer-khan/22085,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22085-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,1,1,0,0,0,0.00,3,0.00,0,0,0,0,,,1,1,12,27,1,1/27,27.00,13.50,12.00,0,0,1,1,0,0,0,0.00,3,0.00,0,0,0,0,,,1,1,12,27,1,1/27,27.00,13.50,12.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22085-playerstats.js,2026-03-23T10:51:04.711061+00:00,ok
Saurabh,PBKS,Prabhsimran,Prabhsimran Singh,WK,False,Prabhsimran Singh,5436,https://www.iplt20.com/players/prabhsimran-singh/5436,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5436-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,68,68,0,1696,103,24.94,1131,149.96,2,8,175,91,6,1,68,0,0,0,0,,,,,0,0,17,17,0,549,91,32.29,342,160.53,0,4,56,30,2,1,17,,,,,,,,,,,14,14,0,334,71,23.86,213,156.81,0,2,34,20,1,,14,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5436-playerstats.js,2026-03-23T10:51:04.715369+00:00,ok
Vyom,PBKS,Stoinis,Marcus Stoinis,AR,True,Marcus Stoinis,964,https://www.iplt20.com/players/marcus-stoinis/964,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/964-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,109,99,27,2026,124*,28.14,1400,144.71,1,9,158,106,25,0,109,71,888,1449,44,4/15,32.93,9.79,20.18,1,0,13,11,5,160,44*,26.67,86,186.05,0,0,8,15,1,,13,9,85,175,1,1/14,175.00,12.35,85.00,0,0,14,14,2,388,124*,32.33,263,147.53,1,2,39,16,4,,14,7,84,126,4,1/3,31.50,9.00,21.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/964-playerstats.js,2026-03-23T10:51:04.720127+00:00,ok
Harsh,PBKS,Iyer,Shreyas Iyer,BAT,False,Shreyas Iyer,1563,https://www.iplt20.com/players/shreyas-iyer/1563,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1563-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,133,132,23,3731,97*,34.23,2798,133.35,0,27,314,152,56,0,133,1,6,7,0,0/7,,7.00,,0,0,17,17,5,604,97*,50.33,345,175.07,0,6,43,39,7,,17,,,,,,,,,,,15,14,5,351,58*,39.00,239,146.86,0,2,34,14,10,,15,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1563-playerstats.js,2026-03-23T10:51:04.799668+00:00,ok
Dharmik,PBKS,Shashank,Shashank Singh,AR,False,Shashank Singh,3261,https://www.iplt20.com/players/shashank-singh/3261,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3261-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,41,33,14,773,68*,40.68,490,157.76,0,5,56,43,17,,41,4,30,52,1,1/5,52.00,10.40,30.00,0,0,17,14,7,350,61*,50.00,228,153.51,0,3,23,18,7,,17,1,12,27,0,0/27,,13.50,,0,0,14,14,6,354,68*,44.25,215,164.65,0,2,28,21,7,,14,1,6,5,1,1/5,5.00,5.00,6.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3261-playerstats.js,2026-03-23T10:51:04.849650+00:00,ok
Dharmil,PBKS,Priyansh,Priyansh Arya,BAT,False,Priyansh Arya,22052,https://www.iplt20.com/players/priyansh-arya/22052,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22052-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,17,17,0,475,103,27.94,265,179.25,1,2,55,25,8,,17,,,,,,,,,,,17,17,0,475,103,27.94,265,179.25,1,2,55,25,8,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22052-playerstats.js,2026-03-23T10:51:04.875167+00:00,ok
Manan,PBKS,Bartlett,Xavier Bartlett,BOWL,True,Xavier Bartlett,22112,https://www.iplt20.com/players/xavier-bartlett/22112,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22112-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,4,1,0,11,11,11.00,15,73.33,0,0,1,0,5,,4,4,60,96,2,1/26,48.00,9.60,30.00,0,0,4,1,0,11,11,11.00,15,73.33,0,0,1,0,5,,4,4,60,96,2,1/26,48.00,9.60,30.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22112-playerstats.js,2026-03-23T10:51:04.893513+00:00,ok
Akshit,PBKS,Dwarshuis,Ben Dwarshuis,BOWL,True,Ben Dwarshuis,1478,https://www.iplt20.com/players/ben-dwarshuis/1478,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1478-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/1478-playerstats.js,2026-03-23T10:51:04.911142+00:00,feed_missing
Saurabh,PBKS,Yash Thakur,Yash Thakur,BOWL,False,Yash Thakur,5624,https://www.iplt20.com/players/yash-thakur/5624,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5624-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,21,0,0,,,,,,0,0,,,2,,21,21,443,770,25,5/30,30.80,10.43,17.72,1,1,2,0,0,,,,,,0,0,,,,,2,2,39,79,1,1/39,79.00,12.15,39.00,0,0,10,0,0,,,,,,0,0,,,1,,10,10,213,402,11,5/30,36.55,11.32,19.36,0,1,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5624-playerstats.js,2026-03-23T10:51:04.913416+00:00,ok
Vyom,PBKS,Suyansh,Suryansh Shedge,AR,False,Suryansh Shedge,20683,https://www.iplt20.com/players/suryansh-shedge/20683,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20683-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Suryansh Shedge'.,LIKELY,1.0,,,,High,5,3,0,7,4,2.33,11,63.64,0,0,0,0,1,,5,1,18,40,0,0/40,,13.33,,0,0,5,3,0,7,4,2.33,11,63.64,0,0,0,0,1,,5,1,18,40,0,0/40,,13.33,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20683-playerstats.js,2026-03-23T10:51:04.988103+00:00,ok
Harsh,PBKS,Omarzai,Azmatullah Omarzai,AR,True,Azmatullah Omarzai,20685,https://www.iplt20.com/players/azmatullah-omarzai/20685,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20685-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,16,9,1,99,21*,12.38,74,133.78,0,0,8,5,1,,16,15,288,465,12,2/27,38.75,9.69,24.00,0,0,9,5,1,57,21*,14.25,41,139.02,0,0,6,3,1,,9,8,162,279,8,2/33,34.88,10.33,20.25,0,0,7,4,0,42,17,10.50,33,127.27,0,0,2,2,,,7,7,126,186,4,2/27,46.50,8.86,31.50,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20685-playerstats.js,2026-03-23T10:51:05.047441+00:00,ok
Dharmik,PBKS,Brar,Harpreet Brar,AR,False,Harpreet Brar,5441,https://www.iplt20.com/players/harpreet-brar/5441,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5441-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,49,26,14,244,29,20.33,203,120.20,0,0,19,10,14,0,49,46,811,1085,35,4/30,31.00,8.03,23.17,1,0,8,2,1,11,7*,11.00,13,84.62,0,0,0,1,,,8,7,132,190,10,3/22,19.00,8.64,13.20,0,0,13,7,5,75,29,37.50,54,138.89,0,0,8,2,7,,13,13,228,303,7,2/13,43.29,7.97,32.57,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5441-playerstats.js,2026-03-23T10:51:05.056171+00:00,ok
Dharmil,PBKS,Chahal,Yuzvendra Chahal,BOWL,False,Yuzvendra Chahal,111,https://www.iplt20.com/players/yuzvendra-chahal/111,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/111-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,174,20,13,37,8*,5.29,86,43.02,0,0,0,0,32,0,174,172,3791,5032,221,5/40,22.77,7.96,17.15,8,1,14,0,0,,,,,,0,0,,,2,,14,13,270,430,16,4/28,26.88,9.56,16.88,2,0,15,0,0,,,,,,0,0,,,5,,15,15,348,546,18,3/11,30.33,9.41,19.33,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/111-playerstats.js,2026-03-23T10:51:05.078611+00:00,ok
Akshit,PBKS,Cooper,Cooper Connolly,AR,True,Cooper Connolly,23052,https://www.iplt20.com/players/cooper-connolly/23052,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23052-playerstats.js,registry_exact_team_match,Official stats feed not available for this player ID.,LIKELY,1.0,,,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/23052-playerstats.js,2026-03-23T10:51:05.079387+00:00,feed_missing
Saurabh,PBKS,Wadhera,Nehal Wadhera,BAT,False,Nehal Wadhera,5859,https://www.iplt20.com/players/nehal-wadhera/5859,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5859-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,36,31,4,719,70,26.63,503,142.94,0,4,60,39,12,,36,2,17,22,0,0/13,,7.76,,0,0,16,15,3,369,70,30.75,253,145.85,0,2,28,21,6,,16,1,5,9,0,0/9,,10.80,,0,0,6,6,0,109,49,18.17,84,129.76,0,0,9,6,2,,6,1,12,13,0,0/13,,6.50,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/5859-playerstats.js,2026-03-23T10:51:05.087960+00:00,ok
Vyom,PBKS,P Dube,Pravin Dubey,BOWL,False,Pravin Dubey,3188,https://www.iplt20.com/players/pravin-dubey/3188,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3188-playerstats.js,team_nickname_override,Resolved via accepted team-scoped override to 'Pravin Dubey'.,LIKELY,1.0,,,,High,5,2,1,23,16,23.00,33,69.70,0,0,2,0,2,0,5,5,78,111,2,1/19,55.50,8.54,39.00,0,0,1,0,0,,,,,,0,0,,,1,,1,1,12,20,1,1/20,20.00,10.00,12.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3188-playerstats.js,2026-03-23T10:51:05.119403+00:00,ok
Dharmil,PBKS,Arshdeep,Arshdeep Singh,BOWL,False,Arshdeep Singh,4698,https://www.iplt20.com/players/arshdeep-singh/4698,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4698-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,82,14,8,31,10*,5.17,46,67.39,0,0,4,0,16,0,82,81,1714,2570,97,5/32,26.49,9.00,17.67,2,1,17,2,1,2,1,2.00,6,33.33,0,0,0,0,4,,17,16,350,518,21,3/16,24.67,8.88,16.67,0,0,14,1,0,4,4,4.00,3,133.33,0,0,1,0,1,,14,14,302,505,19,4/29,26.58,10.03,15.89,1,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4698-playerstats.js,2026-03-23T10:51:05.217349+00:00,ok
Manan,RR,Kwena,Kwena Maphaka,BOWL,True,Kwena Maphaka,20724,https://www.iplt20.com/players/kwena-maphaka/20724,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20724-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,4,1,1,8,8*,,2,400.00,0,0,2,0,2,,4,4,66,143,2,1/23,71.50,13.00,33.00,0,0,2,1,1,8,8*,,2,400.00,0,0,2,0,2,,2,2,30,54,1,1/32,54.00,10.80,30.00,0,0,2,0,0,,,,,,0,0,,,,,2,2,36,89,1,1/23,89.00,14.83,36.00,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20724-playerstats.js,2026-03-23T10:51:05.218047+00:00,ok
Akshit,RR,Jurel,Dhruv Jurel,WK,False,Dhruv Jurel,20620,https://www.iplt20.com/players/dhruv-jurel/20620,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20620-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,42,35,11,680,70,28.33,442,153.85,0,4,51,38,19,,42,,,,,,,,,,,14,13,4,333,70,37.00,213,156.34,0,2,22,22,7,,14,,,,,,,,,,,15,11,3,195,56*,24.38,141,138.30,0,2,18,7,11,,15,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/20620-playerstats.js,2026-03-23T10:51:05.220601+00:00,ok
Saurabh,RR,Parag,Riyan Parag,AR,False,Riyan Parag,4445,https://www.iplt20.com/players/riyan-parag/4445,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4445-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,84,72,12,1566,95,26.10,1104,141.85,0,7,111,87,45,0,84,30,295,477,7,1/10,68.14,9.70,42.14,0,0,14,14,2,393,95,32.75,236,166.53,0,1,27,27,8,,14,9,120,170,3,1/12,56.67,8.50,40.00,0,0,16,14,3,573,84*,52.09,384,149.22,0,4,40,33,7,,16,2,18,27,0,0/10,,9.00,,0,0,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/4445-playerstats.js,2026-03-23T10:51:05.244003+00:00,ok
Vyom,RR,Vaibhav,Vaibhav Suryavanshi,BAT,False,Vaibhav Suryavanshi,22203,https://www.iplt20.com/players/vaibhav-suryavanshi/22203,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22203-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,7,7,0,252,101,36.00,122,206.56,1,1,18,24,,,7,,,,,,,,,,,7,7,0,252,101,36.00,122,206.56,1,1,18,24,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/22203-playerstats.js,2026-03-23T10:51:05.252187+00:00,ok
Harsh,RR,Jofra,Jofra Archer,BOWL,True,Jofra Archer,3502,https://www.iplt20.com/players/jofra-archer/3502,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3502-playerstats.js,registry_exact_team_match,,LIKELY,1.0,,,,High,52,32,13,262,30,13.79,178,147.19,0,0,14,18,11,0,52,52,1218,1602,59,3/15,27.15,7.89,20.64,0,0,12,7,1,63,30,10.50,50,126.00,0,0,3,4,1,,12,12,273,431,11,3/25,39.18,9.47,24.82,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/feeds/stats/player/3502-playerstats.js,2026-03-23T10:51:05.277534+00:00,ok
